RVX09918.1	RVX09918.1
XP_010661895.1	XP_010661895.1
XP_009785688.1	XP_009785688.1
KAB2595824.1	KAB2595824.1
NP_001312532.1	NP_001312532.1
NP_001312532.1	AHZ08761.1
XP_023529187.1	XP_023529187.1
XP_019257343.1	XP_019257343.1
XP_019257343.1	OIS96301.1
XP_009350467.1	XP_009350467.1
PIA49081.1	PIA49081.1
BAI65909.1	BAI65909.1
XP_016489675.1	XP_016489675.1
KAE8676873.1	KAE8676873.1
ACB56923.1	ACB56923.1
XP_022895845.1	XP_022895845.1
XP_016538197.1	XP_016538197.1
XP_004306692.1	XP_004306692.1
XP_022979638.1	XP_022979638.1
XP_022924811.1	XP_022924811.1
XP_021969657.1	XP_021969657.1
XP_021969657.1	OTG22338.1
XP_024992826.1	XP_024992826.1
XP_024992826.1	KVH89053.1
XP_030540911.1	XP_030540911.1
PWA37338.1	PWA37338.1
XP_022035740.1	XP_022035740.1
XP_022035740.1	OTG29316.1
XP_015889373.1	XP_015889373.1
XP_030540984.1	XP_030540984.1
PQQ12478.1	PQQ12478.1
BBN60796.1	BBN60796.1
TKY61277.1	TKY61277.1
XP_031374946.1	XP_031374946.1
XP_031374946.1	OWM68669.1
XP_031374946.1	PKI76655.1
XP_028085525.1	XP_028085525.1
XP_028085525.1	THG12888.1
XP_028116769.1	XP_028116769.1
XP_028116769.1	THF98254.1
XP_010095793.1	XP_010095793.1
XP_010095793.1	EXB62213.1
XP_015167719.1	XP_015167719.1
XP_023540395.1	XP_023540395.1
XP_015062343.1	XP_015062343.1
XP_012437747.1	XP_012437747.1
XP_012437747.1	KJB49530.1
XP_026379888.1	XP_026379888.1
XP_026379888.1	RZC57264.1
XP_030457438.1	XP_030457438.1
KAB2056438.1	KAB2056438.1
NP_001235053.1	NP_001235053.1
NP_001235053.1	XP_028226845.1
NP_001235053.1	CAM31955.1
NP_001235053.1	KRH68895.1
NP_001235053.1	RZC22521.1
VDC92080.1	VDC92080.1
XP_017636519.1	XP_017636519.1
XP_016735486.1	XP_016735486.1
XP_016735486.1	PPD82599.1
XP_016735486.1	TYG40944.1
XP_016735486.1	TYH38805.1
XP_016735486.1	KAB1998964.1
PSS24207.1	PSS24207.1
XP_009377277.2	XP_009377277.2
XP_009377277.2	XP_009377276.2
XP_026425522.1	XP_026425522.1
XP_026425522.1	RZC84885.1
NP_001307116.1	NP_001307116.1
NP_001307116.1	ADI33725.1
XP_011093530.1	XP_011093530.1
XP_027350575.1	XP_027350575.1
TYI50811.1	TYI50811.1
XP_026440946.1	XP_026440946.1
XP_026440946.1	RZC91323.1
AQQ16625.1	AQQ16625.1
XP_022947541.1	XP_022947541.1
XP_016738143.1	XP_016738143.1
TYH95767.1	TYH95767.1
TMW84173.1	TMW84173.1
XP_004133821.1	XP_004133821.1
XP_004133821.1	KGN56443.1
